"Dates","OpenFrom","OpenTo"
2013-11-01,"09:00:00","19:00:00"
2013-11-02,"09:00:00","18:00:00"
2013-11-03,"00:00:00","00:00:00"
2013-11-04,"09:00:00","19:00:00"
2013-11-05,"09:00:00","19:00:00"
2013-11-06,"09:00:00","19:00:00"
2013-11-07,"09:00:00","19:00:00"
2013-11-08,"09:00:00","19:00:00"
2013-11-09,"09:00:00","18:00:00"
2013-11-10,"00:00:00","00:00:00"
2013-11-11,"09:00:00","19:00:00"
2013-11-12,"09:00:00","19:00:00"
2013-11-13,"09:00:00","19:00:00"
2013-11-14,"09:00:00","19:00:00"
2013-11-15,"09:00:00","19:00:00"
2013-11-16,"09:00:00","18:00:00"
2013-11-17,"00:00:00","00:00:00"
2013-11-18,"09:00:00","19:00:00"
2013-11-19,"09:00:00","19:00:00"
2013-11-20,"09:00:00","19:00:00"
2013-11-21,"09:00:00","19:00:00"
2013-11-22,"09:00:00","19:00:00"
2013-11-23,"09:00:00","18:00:00"
2013-11-24,"00:00:00","00:00:00"
2013-11-25,"09:00:00","19:00:00"
2013-11-26,"09:00:00","19:00:00"
2013-11-27,"09:00:00","19:00:00"
2013-11-28,"09:00:00","19:00:00"
2013-11-29,"09:00:00","19:00:00"
2013-11-30,"09:00:00","18:00:00"
2013-12-01,"00:00:00","00:00:00"
2013-12-02,"09:00:00","19:00:00"
2013-12-03,"09:00:00","19:00:00"
2013-12-04,"09:00:00","19:00:00"
2013-12-05,"09:00:00","19:00:00"
2013-12-06,"09:00:00","19:00:00"
2013-12-07,"09:00:00","18:00:00"
2013-12-08,"00:00:00","00:00:00"
2013-12-09,"09:00:00","19:00:00"
2013-12-10,"09:00:00","19:00:00"
2013-12-11,"09:00:00","19:00:00"
2013-12-12,"09:00:00","19:00:00"
2013-12-13,"09:00:00","19:00:00"
2013-12-14,"09:00:00","18:00:00"
2013-12-15,"00:00:00","00:00:00"
2013-12-16,"09:00:00","19:00:00"
2013-12-17,"09:00:00","19:00:00"
2013-12-18,"09:00:00","19:00:00"
2013-12-19,"09:00:00","19:00:00"
2013-12-20,"09:00:00","19:00:00"
2013-12-21,"09:00:00","18:00:00"
2013-12-22,"00:00:00","00:00:00"
2013-12-23,"09:00:00","19:00:00"
2013-12-24,"09:00:00","19:00:00"
